number of observations,party_name,state,constituency,constituency_type,Checked,gender,member_name,profession,education_category,Source ( if not on sansad),Occupation category,Category 2,,TABLE,Occupation Categorry,Count,,Occupation category(shortened),Count
540,Bharatiya Janata Party,Maharashtra,Ratnagiri-Sindhudurg,General,1,Male,Narayan Tatu Rane,Agriculture and allied,,,Agriculture,,,,,,,,
3,Bharatiya Janata Party,Rajasthan,Bhilwara,General,1,Male,Damodar Agrawal,Businessperson,Post Graduate,,Business,,,,,,,,
7,Dravida Munnetra Kazhagam,Tamil Nadu,Vellore,General,1,Male,D M Kathir Anand,Businessperson,Post Graduate,,Business,,,,,,,,
9,Dravida Munnetra Kazhagam,Tamil Nadu,Tiruvannamalai,General,1,Male,C N Annadurai,Businessperson,Graduate,,Business,,,,,,,,
21,Bharatiya Janata Party,Gujarat,Anand,General,1,Male,Mitesh Patel Bakabhai,Businessperson,Diploma,,Business,,,,,,,,
43,All India Trinamool Congress,West Bengal,Barrackpur,General,1,Male,Partha Bhowmick,Businessperson,Post Graduate,,Business,,,,,,,,
47,Bharatiya Janata Party,Rajasthan,Kota,General,1,Male,Om Birla,Businessperson,Post Graduate,,Business,,,,,,,,
48,Bharatiya Janata Party,West Bengal,Darjeeling,General,1,Male,Raju Bista,Businessperson,Graduate,,Business,,,,,,,,
60,Indian National Congress,Tamil Nadu,Sivaganga,General,1,Male,Karti P Chidambaram,Businessperson,Graduate,,Business,,,,,,,,
63,Bharatiya Janata Party,Rajasthan,Ajmer,General,1,Male,Bhagirath Choudhary,Businessperson,Graduate,,Business,,,,,,,,
66,Bharatiya Janata Party,Uttar Pradesh,Maharajganj,General,1,Male,Pankaj Choudhary,Businessperson,Graduate,,Business,,,,,,,,
68,Indian National Congress,West Bengal,Maldaha Dakshin,General,1,Male,Isha Khan Choudhury,Businessperson,,,Business,,,,,,,,
71,Bharatiya Janata Party,Karnataka,Dakshina Kannada,General,1,Male,Captain Brijesh Chowta,Businessperson,Graduate,,Business,,,,,,,,
74,Bharatiya Janata Party,Gujarat,Surat,General,1,Male,Mukeshkumar Chandrakaant Dalal,Businessperson,Graduate,,Business,,,,,,,,
90,Bharatiya Janata Party,Jharkhand,Godda,General,1,Male,Nishikant Dubey,Businessperson,Post Graduate,,Business,,,,,,,,
93,Bharatiya Janata Party,Assam,Sonitpur,General,1,Male,Ranjit Dutta,Businessperson,12th,,Business,,,,,,,,
103,Bharatiya Janata Party,Uttar Pradesh,Ghaziabad,General,1,Male,Atul Garg,Businessperson,Graduate,,Business,,,,,,,,
104,Bharatiya Janata Party,Uttar Pradesh,Aligarh,General,1,Male,Satish Kumar Gautam,Businessperson,Graduate,,Business,,,,,,,,
115,Independent,Ladakh,Ladakh,General,1,Male,Mohmad Haneefa,Businessperson,,,Business,,,,,,,,
117,Indian National Congress,Karnataka,Koppal,General,1,Male,K Rajashekar Basavaraj Hitnal,Businessperson,,,Business,,,,,,,,
120,All India Trinamool Congress,West Bengal,Basirhat,General,1,Male,Sk Nurul Islam,Businessperson,Under Matric,,Business,,,,,,,,
124,Dravida Munnetra Kazhagam,Tamil Nadu,Arakkonam,General,1,Male,S Jagathratchakan,Businessperson,Post Graduate,,Business,,,,,,,,
126,Bharatiya Janata Party,Jharkhand,Hazaribagh,General,1,Male,Manish Jaiswal,Businessperson,Graduate,,Business,,,,,,,,
128,Indian National Congress,Karnataka,Chikkodi,General,1,Female,Km. Priyanka Satish Jarkiholi,Businessperson,,,Business,,,,,,,,
134,Bharatiya Janata Party,Karnataka,Dharwad,General,1,Male,Pralhad Joshi,Businessperson,Graduate,,Business,,,,,,,,
137,Indian Union Muslim League,Tamil Nadu,Ramanathapuram,General,1,Male,Navaskani K,Businessperson,10th,,Business,,,,,,,,
147,Indian National Congress,Rajasthan,Churu,General,1,Male,Rahul Kaswan,Businessperson,Graduate,,Business,,,,,,,,
150,Bharatiya Janata Party,Delhi,Chandni Chowk,General,1,Male,Praveen Khandelwal,Businessperson,Graduate,,Business,,,,,,,,
157,Telugu Desam Party,Andhra Pradesh,Eluru,General,,Male,Putta Mahesh Kumar,Businessperson,Graduate,MyNeta,Business,,,,,,,,
163,Telugu Desam Party,Andhra Pradesh,Ananthapur,General,1,Male,G Lakshminarayana,Businessperson,Graduate,,Business,,,,,,,,
164,Indian National Congress,Uttar Pradesh,Amethi,General,1,Male,Kishori Lal,Businessperson,Graduate,,Business,,,,,,,,
166,Bharatiya Janata Party,Madhya Pradesh,Indore,General,1,Male,Shankar Lalwani,Businessperson,Graduate,,Business,,,,,,,,
171,Bharatiya Janata Party,Gujarat,Jamnagar,General,1,Female,Poonamben Hematbhai Maadam,Businessperson,Graduate,,Business,,,,,,,,
179,Bharatiya Janata Party,Delhi,East Delhi,General,1,Male,Harsh Malhotra,Businessperson,Graduate,,Business,,,,,,,,
187,Dravida Munnetra Kazhagam,Tamil Nadu,Chennai Central,General,1,Male,Thiru Dayanidhi Maran,Businessperson,Graduate,,Business,,,,,,,,
191,Bharatiya Janata Party,Assam,Guwahati,General,Handloom and Handicraft,Female,Bijuli Kalita Medhi,Businessperson,Post Graduate,MyNeta,Business,,,,,,,,
194,Bharatiya Janata Party,Rajasthan,Rajsamand,General,1,Female,Mahima Kumari Mewar,Businessperson,Graduate,,Business,,,,,,,,
195,Shiv Sena,Maharashtra,Thane,General,,Male,Naresh Ganpat Mhaske,Businessperson,12th,,Business,,,,,,,,
196,Nationalist Congress Party - Sharadchandra Pawar,Maharashtra,Bhiwandi,General,1,Male,Balya Mama Suresh Gopinath Mhatre,Businessperson,12th,,Business,,,,,,,,
200,Bharatiya Janata Party,Karnataka,Bangalore Central,General,1,Male,P C Mohan,Businessperson,12th,,Business,,,,,,,,
207,Telugu Desam Party,Andhra Pradesh,Srikakulam,General,1,Male,Kinjarapu Rammohan Naidu,Businessperson,Post Graduate,,Business,,,,,,,,
208,Bharatiya Janata Party,Goa,North Goa,General,1,Male,Shripad Yesso Naik,Businessperson,Graduate,,Business,,,,,,,,
210,Dravida Munnetra Kazhagam,Tamil Nadu,Perambalur,General,1,Male,Arun Nehru,Businessperson,Post Graduate,,Business,,,,,,,,
229,Bharatiya Janata Party,Gujarat,Ahmedabad East,General,1,Male,Hasmukhbhai Somabhai Patel,Businessperson,Diploma,,Business,,,,,,,,
231,Bharatiya Janata Party,Uttar Pradesh,Phulpur,General,1,Male,Praveen Patel,Businessperson,Post Graduate,,Business,,,,,,,,
237,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Mumbai North East,General,1,Male,Sanjay Dina Patil,Businessperson,Graduate,,Business,,,,,,,,
238,Independent,Maharashtra,Sangli,General,1,Male,Vishaldada Prakashbapu Patil,Businessperson,Graduate,,Business,,,,,,,,
240,Bharatiya Janata Party,West Bengal,Raiganj,General,1,Male,Kartick Chandra Paul,Businessperson,Graduate,,Business,,,,,,,,
245,Dravida Munnetra Kazhagam,Tamil Nadu,Erode,General,1,Male,K E Prakash,Businessperson,Graduate,,Business,,,,,,,,
246,Indian National Congress,Tamil Nadu,Cuddalore,General,1,Male,M K Vishnu Prasad,Businessperson,Graduate,,Business,,,,,,,,
274,Indian National Congress,Uttar Pradesh,Sitapur,General,1,Male,Rakesh Rathor,Businessperson,Graduate,,Business,,,,,,,,
277,Indian National Congress,Telangana,Bhongir,General,,Male,Chamala Kiran Kumar Reddy,Businessperson,,MyNeta,Business,,,,,,,,
282,Indian National Congress,Telangana,Khammam,General,1,Male,Ramasahayam Raghuram Reddy,Businessperson,Graduate,,Business,,,,,,,,
283,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Kadapa,General,1,Male,Y S Avinash Reddy,Businessperson,Graduate,,Business,,,,,,,,
301,Bharatiya Janata Party,Delhi,West Delhi,General,1,Female,Kamaljeet Sehrawat,Businessperson,Post Graduate,,Business,,,,,,,,
311,Bharatiya Janata Party,Uttar Pradesh,Jhansi,General,1,Male,Anurag Sharma,Businessperson,Graduate,,Business,,,,,,,,
315,Bharatiya Janata Party,Rajasthan,Jodhpur,General,1,Male,Gajendra Singh Shekhawat,Businessperson,Post Graduate,,Business,,,,,,,,
325,Bharatiya Janata Party,Rajasthan,Jhalawar-Baran,General,1,Male,Dushyant Singh,Businessperson,Graduate,,Business,,,,,,,,
329,Bharatiya Janata Party,Uttar Pradesh,Kaiserganj,General,1,Male,Karan Bhushan Singh,Businessperson,Graduate,,Business,,,,,,,,
343,Telugu Desam Party,Andhra Pradesh,Vijayawada,General,1,Male,Kesineni Sivanath,Entrepreneur,Graduate,,Business,,,,,,,,
346,Nationalist Congress Party - Sharadchandra Pawar,Maharashtra,Beed,General,1,Male,Bajrang Manohar Sonwane,Businessperson,Graduate,,Business,,,,,,,,
349,Janasena Party,Andhra Pradesh,Kakinada,General,1,Male,Tangella Uday Srinivas,Businessperson,,,Business,,,,,,,,
356,Indian National Congress,Maharashtra,Chandrapur,General,1,Female,Dhanorkar Pratibha Suresh,Businessperson,12th,,Business,,,,,,,,
360,Bharatiya Janata Party,Uttar Pradesh,Amroha,General,1,Male,Kanwar Singh Tanwar,Businessperson,Under Matric,,Business,,,,,,,,
361,Bharatiya Janata Party,Assam,Kaziranga,General,1,Male,Kamakhya Prasad Tasa,Businessperson,Post Graduate,,Business,,,,,,,,
373,Marumalarchi Dravida Munnetra Kazhagam,Tamil Nadu,Tiruchirappalli,General,1,Male,Durai Vaiko,Businessperson,,,Business,,,,,,,,
375,Janasena Party,Andhra Pradesh,Machilipatnam,General,1,Male,Balashowry Vallabhaneni,Businessperson,Graduate,,Business,,,,,,,,
379,Telugu Desam Party,Andhra Pradesh,Nellore,General,1,Male,Prabhakar Reddy Vemireddy,Businessperson,Graduate,,Business,,,,,,,,
387,Bharatiya Janata Party,Maharashtra,Jalgaon,General,1,Female,Smita Uday Wagh,Businessperson,Graduate,,Business,,,,,,,,
388,Shiv Sena,Maharashtra,Mumbai North West,General,1,Male,Ravindra Dattaram Waikar,Businessperson,Graduate,,Business,,,,,,,,
405,Janata Dal (Secular),Karnataka,Kolar,Scheduled Caste,1,Male,M Mallesh Babu,Businessperson,Post Graduate,,Business,,,,,,,,
408,Indian National Congress,Maharashtra,Ramtek,Scheduled Caste,1,Male,Shyamkumar Daulat Barve,Businessperson,,,Business,,,,,,,,
411,Lok Jan Shakti Party (Ram Vilas),Bihar,Jamui,Scheduled Caste,1,Male,Arun Bharti,Entrepreneur,Post Graduate,,Business,,,,,,,,
412,Indian National Congress,Karnataka,Chamarajanagar,Scheduled Caste,1,Male,Sunil Bose,Businessperson,12th,,Business,,,,,,,,
414,Bharatiya Janata Party,Delhi,North West Delhi,Scheduled Caste,1,Male,Yogender Chandolia,Businessperson,Graduate,,Business,,,,,,,,
415,Indian National Congress,Punjab,Jalandhar,Scheduled Caste,1,Male,Charanjit Singh Channi,Businessperson,Doctorate,,Business,,,,,,,,
419,Samajwadi Party,Uttar Pradesh,Etawah,Scheduled Caste,1,Male,Jitendra Kumar Dohare,Businessperson,12th,,Business,,,,,,,,
422,Indian National Congress,Telangana,Peddapalle,Scheduled Caste,1,Male,Vamsi Krishna Gaddam,Businessperson,Graduate,,Business,,,,,,,,
424,All India Trinamool Congress,West Bengal,Mathurapur,Scheduled Caste,Male,Bapi Haldar,Business,Graduate,MyNeta,,Business,,,,,,,,
436,Bharatiya Janata Party,Uttar Pradesh,Baharaich,Scheduled Caste,1,Male,Anand Kumar,Businessperson,Doctorate,,Business,,,,,,,,
450,Bharatiya Janata Party,Uttar Pradesh,Bansgaon,Scheduled Caste,1,Male,Kamlesh Paswan,Businessperson,Post Graduate,,Business,,,,,,,,
456,Telugu Desam Party,Andhra Pradesh,Chittoor,Scheduled Caste,1,Male,Daggumalla Prasada Rao,Businessperson,Post Graduate,,Business,,,,,,,,
473,Bharatiya Janata Party,Uttar Pradesh,Bulandshahr,Scheduled Caste,1,Male,Bhola Singh,Businessperson,Graduate,,Business,,,,,,,,
488,Independent,Dadra and Nagar Haveli and Daman and Diu,Daman and Diu,Scheduled Tribe,1,Male,Patel Umeshbhai Babubhai,Businessperson,Graduate,,Business,,,,,,,,
512,Bharatiya Janata Party,Gujarat,Valsad,Scheduled Tribe,1,Male,Dhaval Laxmanbhai Patel,Businessperson,Post Graduate,,Business,,,,,,,,
520,Bharatiya Janata Party,Assam,Darang Udalguri,Scheduled Tribe,1,Male,Dilip Saikia,Businessperson,Graduate,,Business,,,,,,,,
521,Indian National Congress,Meghalaya,Tura,Scheduled Tribe,1,Male,Saleng A Sangma,Businessperson,Post Graduate,,Business,,,,,,,,
96,Indian National Congress,Goa,South Goa,General,1,Male,Captain Viriato Fernandes,Civil Servant,Post Graduate,,Civil Servant,,,,,,,,
298,Bharatiya Janata Party,Odisha,Bhubaneswar,General,1,Female,Aparajita Sarangi,Civil Servant,Graduate,,Civil Servant,,,,,,,,
455,Bharatiya Janata Party,Jharkhand,Palamau,Scheduled Caste,1,Male,Vishnu Dayal Ram,Civil Servant,Graduate,,Civil Servant,,,,,,,,
467,Indian National Congress,Tamil Nadu,Tiruvallur,Scheduled Caste,1,Male,Sasikanth Senthil,Civil Servant,Graduate,,Civil Servant,,,,,,,,
480,Telugu Desam Party,Andhra Pradesh,Bapatla,Scheduled Caste,1,Male,Krishna Prasad Tenneti,Civil Servant,Post Graduate,,Civil Servant,,,,,,,,
508,Indian National Congress,Karnataka,Raichur,Scheduled Tribe,1,Male,G Kumar Naik,Civil Servant,Graduate,,Civil Servant,,,,,,,,
518,Bharatiya Janata Party,Rajasthan,Udaipur,Scheduled Tribe,1,Male,Manna Lal Rawat,Civil Servant,Graduate,,Civil Servant,,,,,,,,
6,Indian National Congress,Manipur,Inner Manipur,General,1,Male,Angomcha Bimol Akoijam,Teaching,Doctorate,,Education,,,,,,,,
24,Bharatiya Janata Party,Gujarat,Bhavnagar,General,1,Female,Nimuben Jayantibhai Bambhaniya,Teaching,Graduate,,Education,,,,,,,,
31,Bharatiya Janata Party,Gujarat,Sabarkantha,General,1,Female,Shobhanaben Mahendrasinh Baraiya,Teaching,Graduate,,Education,,,,,,,,
69,Asom Gana Parishad,Assam,Barpeta,General,1,Male,Phani Bhusan Choudhury,Teaching,Graduate,,Education,,,,,,,,
82,Telugu Desam Party,Andhra Pradesh,Narsaraopet,General,1,Male,Lavu Sri Krishna Devarayalu,Educationist,Graduate,,Education,,,,,,,,
95,Indian National Congress,Maharashtra,Mumbai North Central,General,1,Female,Prof. Gaikwad Varsha Eknath,Teaching,Post Graduate,,Education,,,,,,,,
101,Bharatiya Janata Party,Uttar Pradesh,Bareilly,General,1,Male,Chhatrapal Singh Gangwar,Retired Teacher,Post Graduate,the Hindu,Education,,,,,,,,
151,Indian National Congress,Karnataka,Bidar,General,1,Male,Sagar Eshwar Khandre,Educationist,Graduate,,Education,,,,,,,,
178,Bharatiya Janata Party,West Bengal,Balurghat,General,1,Male,Sukanta Majumdar,Teaching,Doctorate,,Education,,,,,,,,
228,Bharatiya Janata Party,Gujarat,Mahesana,General,1,Male,Haribhai Patel,Teaching,Graduate,,Education,,,,,,,,
261,Samajwadi Party,Uttar Pradesh,Ghosi,General,1,Male,Rajeev Rai,Educationist,Doctorate,,Education,,,,,,,,
276,All India Trinamool Congress,West Bengal,Dum Dum,General,1,Male,Prof. Sougata Ray,Educationist,Post Graduate,,Education,,,,,,,,
295,Indian Union Muslim League,Kerala,Ponnani,General,1,Male,M P Abdussamad Samadani,Educationist,Graduate,,Education,,,,,,,,
296,Rashtriya Lok Dal,Uttar Pradesh,Baghpat,General,,Male,Rajkumar Sangwan,Teacher (retired),Doctorate,MyNeta,Education,,,,,,,,
328,Bharatiya Janata Party,Jharkhand,Chatra,General,1,Male,Kali Charan Singh,Teaching,Graduate,,Education,,,,,,,,
335,Bharatiya Janata Party,Uttar Pradesh,Lucknow,General,1,Male,Rajnath Singh,Teaching,Post Graduate,,Education,,,,,,,,
369,Dravida Munnetra Kazhagam,Tamil Nadu,Chennai South,General,1,Female,T Sumathy Alias Thamizhachi Thangapandian,Teaching,Doctorate,,Education,,,,,,,,
409,All India Trinamool Congress,West Bengal,Coochbehar,Scheduled Caste,1,Male,Jagadish Chandra Barma Basunia,Teacher (retired),,,Education,,,,,,,,
463,Bharatiya Janata Party,West Bengal,Ranaghat,Scheduled Caste,1,Male,Jagannath Sarkar,Teaching,Graduate,,Education,,,,,,,,
526,Voice of the People Party,Meghalaya,Shillong,Scheduled Tribe,1,Male,Ricky Andrew J Syngkon,Teaching,Doctorate,,Education,,,,,,,,
528,Bharatiya Janata Party,West Bengal,Alipurduars,Scheduled Tribe,1,Male,Manoj Tigga,Teaching,Graduate,,Education,,,,,,,,
29,All India Trinamool Congress,West Bengal,Hooghly,General,1,Female,Rachna Banerjee,Acting,12th,,Film,,,,,,,,
79,Bharatiya Janata Party,Uttar Pradesh,Mathura,General,1,Female,Hemamalini Dharmendra Deol,Acting,10th,,Film,,,,,,,,
81,All India Trinamool Congress,West Bengal,Ghatal,General,1,Male,Adhikari Deepak Dev,Film Artist,Diploma,,Film,,,,,,,,
106,All India Trinamool Congress,West Bengal,Jadavpur,General,1,Female,Sayani Ghosh,Acting,12th,,Film,,,,,,,,
109,Bharatiya Janata Party,Kerala,Thrissur,General,1,Male,Suresh Gopi,Acting,Post Graduate,,Film,,,,,,,,
152,Bharatiya Janata Party,Uttar Pradesh,Gorakhpur,General,1,Male,Ravindra Shukla Alias Ravi Kishan,Acting,Graduate,,Film,,,,,,,,
154,Nationalist Congress Party - Sharadchandra Pawar,Maharashtra,Shirur,General,1,Male,Amol Ramsing Kolhe,Acting,Graduate,,Film,,,,,,,,
180,All India Trinamool Congress,West Bengal,Medinipur,General,1,Female,June Maliah,Acting,10th,,Film,,,,,,,,
270,Bharatiya Janata Party,Himachal Pradesh,Mandi,General,1,Female,Kangna Ranaut,Acting,,,Film,,,,,,,,
287,All India Trinamool Congress,West Bengal,Birbhum,General,1,Female,Satabdi Roy,Acting,Graduate,,Film,,,,,,,,
342,All India Trinamool Congress,West Bengal,Asansol,General,1,Male,Shatrughan Prasad Sinha,Acting,Graduate,,Film,,,,,,,,
542,Bharatiya Janata Party,Delhi,North East Delhi,General,1,Male,Manoj Tiwari,Acting,Post Graduate,,Film,,,,,,,,
16,Bharatiya Janata Party,Uttar Pradesh,Kanpur,General,1,Male,Ramesh Awasthi,Journalism,Post Graduate,,Journalism,,,,,,,,
177,Bharatiya Janata Party,Odisha,Cuttack,General,1,Male,Bhartruhari Mahtab,Journalism,Post Graduate,,Journalism,,,,,,,,
1,Dravida Munnetra Kazhagam,Tamil Nadu,Dharmapuri,General,1,Male,Mani A,Advocate,Graduate,,Law,,,,,,,,
17,Indian National Congress,Tamil Nadu,Virudhunagar,General,1,Male,Manickam Tagore B,Advocate,Graduate,,Law,,,,,,,,
27,All India Trinamool Congress,West Bengal,Srerampur,General,1,Male,Kalyan Banerjee,Advocate,Graduate,,Law,,,,,,,,
41,Bharatiya Janata Party,Uttarakhand,Nainital-Udhamsingh Nagar,General,1,Male,Ajay Bhatt,Advocate,Graduate,,Law,,,,,,,,
52,Indian National Congress,Tamil Nadu,Tirunelveli,General,1,Male,Robert Bruce C,Advocate,Post Graduate,,Law,,,,,,,,
54,All India Trinamool Congress,West Bengal,Bankura,General,1,Male,Arup Chakraborty,Advocate,Graduate,,Law,,,,,,,,
55,Bharatiya Janata Party,Karnataka,Bagalkot,General,1,Male,Gaddigoudar Parvatagouda Chandanagouda,Advocate,Graduate,,Law,,,,,,,,
56,Bharatiya Janata Party,Rajasthan,Pali,General,1,Male,P P Chaudhary,Advocate,Graduate,,Law,,,,,,,,
105,Kerala Congress,Kerala,Kottayam,General,1,Male,Adv Francis George,Advocate,Graduate,,Law,,,,,,,,
127,Indian National Congress,Nagaland,Nagaland,General,1,Male,S Supongmeren Jamir,Advocate,Graduate,,Law,,,,,,,,
160,Indian National Congress,Kerala,Idukki,General,1,Male,Adv Dean Kuriakose,Advocate,Graduate,,Law,,,,,,,,
198,Bharatiya Janata Party,Madhya Pradesh,Rewa,General,1,Male,Janardan Mishra,Advocate,Graduate,,Law,,,,,,,,
214,All India Majlis-E-Ittehadul Muslimeen,Telangana,Hyderabad,General,1,Male,Asaduddin Owaisi,Advocate,Graduate,,Law,,,,,,,,
216,Bharatiya Janata Party,Uttar Pradesh,Domariyaganj,General,1,Male,Jagdambika Pal,Advocate,Post Graduate,,Law,,,,,,,,
221,Bharatiya Janata Party,Odisha,Berhampur,General,1,Male,Pradeep Kumar Panigrahy,Advocate,Post Graduate,,Law,,,,,,,,
230,Samajwadi Party,Uttar Pradesh,Fatehpur,General,1,Male,Naresh Chandra Uttam Patel,Advocate,Post Graduate,,Law,,,,,,,,
248,Bharatiya Janata Party,Bihar,Patna Sahib,General,1,Male,Ravi Shankar Prasad,Advocate,Graduate,,Law,,,,,,,,
254,Indian National Congress,Tamil Nadu,Mayiladuthurai,General,1,Female,Km. Sudha R,Advocate,Graduate,,Law,,,,,,,,
273,Bharatiya Janata Party,Telangana,Medak,General,1,Male,Madhavaneni Raghunandan Rao,Advocate,Graduate,,Law,,,,,,,,
317,Bharatiya Janata Party,Karnataka,Belgaum,General,1,Male,Jagadish Shettar,Advocate,Graduate,,Law,,,,,,,,
339,Indian National Congress,Uttar Pradesh,Allahabad,General,1,Male,Ujjwal Raman Singh,Advocate,Graduate,,Law,,,,,,,,
357,Bharatiya Janata Party,Karnataka,Bangalore South,General,1,Male,Tejasvi Surya,Advocate,Graduate,,Law,,,,,,,,
359,Bharatiya Janata Party,Delhi,New Delhi,General,1,Female,Km. Bansuri Swaraj,Advocate,Post Graduate,,Law,,,,,,,,
362,Indian National Congress,Chandigarh,Chandigarh,General,1,Male,Manish Tewari,Advocate,Graduate,,Law,,,,,,,,
396,Bharatiya Janata Party,Rajasthan,Alwar,General,1,Male,Bhupender Yadav,Advocate,Graduate,,Law,,,,,,,,
403,Dravida Munnetra Kazhagam,Tamil Nadu,Nilgiris,Scheduled Caste,1,Male,Raja A,Advocate,Graduate,,Law,,,,,,,,
437,Viduthalai Chiruthaigal Katchi,Tamil Nadu,Viluppuram,Scheduled Caste,1,Male,D Ravi Kumar,Advocate,Post Graduate,,Law,,,,,,,,
441,Bharatiya Janata Party,Gujarat,Kachchh,Scheduled Caste,1,Male,Chavda Vinod Lakhamshi,Advocate,Graduate,,Law,,,,,,,,
442,Bharatiya Janata Party,Gujarat,Ahmedabad West,Scheduled Caste,Male,Dineshbhai Makwana,Advocate,Graduate,MyNeta,,Law,,,,,,,,
459,Bharatiya Janata Party,Madhya Pradesh,Bhind,Scheduled Caste,1,Female,Sandhya Ray,Advocate,Post Graduate,,Law,,,,,,,,
464,Samajwadi Party,Uttar Pradesh,Machhlishahr,Scheduled Caste,1,Female,Adv Priya Saroj,Advocate,Graduate,,Law,,,,,,,,
470,Azad Samaj Party (Kanshi Ram),Uttar Pradesh,Nagina,Scheduled Caste,1,Male,Adv. Chandra Shekhar,Advocate,Graduate,,Law,,,,,,,,
471,Indian National Congress,Maharashtra,Solapur,Scheduled Caste,1,Female,Praniti Sushilkumar Shinde,Advocate,Graduate,,Law,,,,,,,,
474,Bharatiya Janata Party,Madhya Pradesh,Dewas,Scheduled Caste,1,Male,Mahendra Singh Solanky,Advocate,Graduate,,Law,,,,,,,,
479,Bharatiya Janata Party,Odisha,Jagatsinghpur,Scheduled Caste,1,Male,Bibhu Prasad Tarai,Advocate,Post Graduate,,Law,,,,,,,,
498,Indian National Congress,Maharashtra,Gadchiroli-Chimur,Scheduled Tribe,,Male,Namdeo Kirsan,Advocate(retired),Doctorate,MyNeta,Law,,,,,,,,
511,Indian National Congress,Maharashtra,Nandurbar,Scheduled Tribe,1,Male,Adv Gowaal Kagada Padavi,Advocate,Post Graduate,,Law,,,,,,,,
523,Indian National Congress,Lakshadweep,Lakshadweep,Scheduled Tribe,1,Male,Hamdullah Sayeed,Advocate,Graduate,,Law,,,,,,,,
39,Bharatiya Janata Party,Himachal Pradesh,Kangra,General,1,Male,Rajeev Bharadwaj,Medical,Graduate,,Medical,,,,,,,,
61,Bharatiya Janata Party,Bihar,Muzaffarpur,General,1,Male,Raj Bhushan Choudhary,Medical,Post Graduate,,Medical,,,,,,,,
75,All India Trinamool Congress,West Bengal,Barasat,General,1,Female,Kakoli Ghosh Dastidar,Medical,Graduate,,Medical,,,,,,,,
89,Indian National Congress,Maharashtra,Dhule,General,1,Female,Bachhav Shobha Dinesh,Medical,Graduate,,Medical,,,,,,,,
98,Indian National Congress,Punjab,Patiala,General,1,Male,Dharamvira Gandhi,Medical,Post Graduate,,Medical,,,,,,,,
100,Bharatiya Janata Party,West Bengal,Tamluk,General,1,Male,Abhijit Gangopadhyay,Judge,Graduate,,Medical,,,,,,,,
125,Bharatiya Janata Party,Bihar,Paschim Champaran,General,1,Male,Sanjay Jaiswal,Medical,Graduate,,Medical,,,,,,,,
129,Indian National Congress,Bihar,Kishanganj,General,1,Male,Mohammad Jawed,Medical,Graduate,,Medical,,,,,,,,
186,Bharatiya Janata Party,Karnataka,Bangalore Rural,General,1,Male,C N Manjunath,Medical,Post Graduate,,Medical,,,,,,,,
197,Bharatiya Janata Party,Madhya Pradesh,Sidhi,General,1,Male,Rajesh Mishra,Medical,Post Graduate,,Medical,,,,,,,,
241,Telugu Desam Party,Andhra Pradesh,Guntur,General,1,Male,Chandra Sekhar Pemmasani,Medical,Post Graduate,,Medical,,,,,,,,
304,Telugu Desam Party,Andhra Pradesh,Nandyal,General,1,Female,Byreddy Shabari,Medical,Post Graduate,,Medical,,,,,,,,
309,Bharatiya Janata Party,Uttar Pradesh,Gautam Buddha Nagar,General,1,Male,Mahesh Sharma,Medical,Graduate,,Medical,,,,,,,,
319,Shiv Sena,Maharashtra,Kalyan,General,1,Male,Shrikant Eknath Shinde,Medical,Graduate,,Medical,,,,,,,,
321,Bharatiya Janata Party,Jammu and Kashmir,Udhampur,General,1,Male,Jitendra Singh,Medical,Graduate,,Medical,,,,,,,,
352,Bharatiya Janata Party,Karnataka,Chikkballapur,General,1,Male,K Sudhakar,Medical,Graduate,,Medical,,,,,,,,
378,Dravida Munnetra Kazhagam,Tamil Nadu,Chennai North,General,1,Male,Kalanidhi Veeraswamy,Medical,Graduate,,Medical,,,,,,,,
413,Aam Aadmi Party,Punjab,Hoshiarpur,Scheduled Caste,1,Male,Raj Kumar Chabbewal,Medical,Post Graduate,,Medical,,,,,,,,
423,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Thirupati,Scheduled Caste,1,Male,Maddila Gurumoorthy,Medical,Graduate,,Medical,,,,,,,,
430,Indian National Congress,Maharashtra,Latur,Scheduled Caste,1,Male,Shivaji Bandappa Kalge,Medical,Graduate,,Medical,,,,,,,,
433,Indian National Congress,Telangana,Warangal,Scheduled Caste,1,Female,Kadiyam Kavya,Medical,Post Graduate,,Medical,,,,,,,,
457,Indian National Congress,Telangana,Nagarkurnool,Scheduled Caste,1,Male,Mallu Ravi,Medical,Post Graduate,,Medical,,,,,,,,
460,Bharatiya Janata Party,West Bengal,Jalpaiguri,Scheduled Caste,1,Male,Jayanta Kumar Roy,Medical,Graduate,,Medical,,,,,,,,
462,All India Trinamool Congress,West Bengal,Bardhaman Purba,Scheduled Caste,1,Female,Sharmila Sarkar,Medical,Post Graduate,,Medical,,,,,,,,
475,Dravida Munnetra Kazhagam,Tamil Nadu,Tenkasi,Scheduled Caste,1,Female,Rani Srikumar,Medical,Post Graduate,,Medical,,,,,,,,
476,Janata Dal (United),Bihar,Gopalganj,Scheduled Caste,1,Male,Alok Kumar Suman,Medical,Graduate,,Medical,,,,,,,,
